순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,국내도서,트렌드 코리아 2023,8959897094,9.78896E+12,13320,미래의창,김난도 외 지음,"19,000","17,100","1,900",10%,950점,20221005,146557
2,국내도서,아버지의 해방일지,8936438832,9.78894E+12,3810,창비,정지아 지음,"15,000","13,500","1,500",10%,750점,20220902,276606
3,국내도서,주술회전 20 (초판한정 사멸회유 특제 미니 L홀더 + 선착순 한정 이타도리 유지 포토 카드 포함 특장판),K382839443,,,서울미디어코믹스(서울문화사),"아쿠타미 게게 지음, 이정운 옮김","6,000","5,400",600,10%,300점,20221026,25320
4,국내도서,헤어질 결심 스토리보드북,8932474788,9.78893E+12,3680,을유문화사,"이윤호 작화, 박찬욱 감독","33,000","29,700","3,300",10%,"1,650점",20221020,26189
5,국내도서,이토록 평범한 미래,8954680003,9.78895E+12,3810,문학동네,김연수 지음,"14,000","12,600","1,400",10%,700점,20221007,95111
6,국내도서,인생의 역사,K362839230,9.79119E+12,3810,난다,신형철 지음,"18,000","16,200","1,800",10%,900점,20221031,98937
7,국내도서,세상에서 가장 쉬운 본질육아,8950941813,9.78895E+12,13590,21세기북스,지나영 지음,"18,800","16,920","1,880",10%,940점,20220928,72949
8,국내도서,하얼빈,895469991X,9.78895E+12,3810,문학동네,김훈 지음,"16,000","14,400","1,600",10%,800점,20220803,149428
9,국내도서,원피스 103,K592839643,9.79117E+12,,대원씨아이(만화),오다 에이치로 지음,"5,500","4,950",550,10%,270점,20221028,37170
10,국내도서,역행자,8901260719,9.7889E+12,3320,웅진지식하우스,자청 지음,"17,500","15,750","1,750",10%,870점,20220603,174269
11,국내도서,올리버쌤의 미국식 아이 영어 습관 365,K222839504,9.79113E+12,10590,브라이트(다산북스),"올리버 샨 그랜트 지음, 정다운 그림","23,000","20,700","2,300",10%,"1,150점",20221006,19979
12,국내도서,도쿄 리벤저스 28,K292839449,9.79117E+12,,학산문화사(만화),와쿠이 켄 지음,"6,000","5,400",600,10%,300점,20221020,15751
13,국내도서,단순한 열정 (무선),8954619584,9.78895E+12,4860,문학동네,"아니 에르노 지음, 최정수 옮김","10,000","9,000","1,000",10%,500점,20121107,29922
14,국내도서,불편한 편의점 (벚꽃 에디션),K192836746,9.79116E+12,3810,나무옆의자,김호연 지음,"14,000","12,600","1,400",10%,700점,20210420,547682
15,국내도서,가녀장의 시대,8954688799,9.78895E+12,3810,이야기장수,이슬아 지음,"15,000","13,500","1,500",10%,750점,20221007,22138
16,국내도서,파친코 2,K192838537,9.79117E+12,4840,인플루엔셜(주),"이민진 지음, 신승미 옮김","15,800","14,220","1,580",10%,790점,20220825,92942
17,국내도서,"물고기는 존재하지 않는다 (리커버 특별판, 양장)",K762839932,9.79119E+12,3400,곰출판,"룰루 밀러 지음, 정지인 옮김","17,000","15,300","1,700",10%,850점,20211217,288861
18,국내도서,나는 오래된 거리처럼 너를 사랑하고,8932040443,9.78893E+12,3810,문학과지성사,진은영 지음,"12,000","10,800","1,200",10%,600점,20220831,57004
19,국내도서,2023년 문재인 탁상 달력,K492839950,8.80953E+12,1,더휴먼,더휴먼 편집부 지음,"9,800","8,820",980,10%,450점,20221025,14944
20,국내도서,파친코 1,K202838509,9.79117E+12,4840,인플루엔셜(주),"이민진 지음, 신승미 옮김","15,800","14,220","1,580",10%,790점,20220727,99592
21,국내도서,이 책은 돈 버는 법에 관한 이야기,K752839689,9.79119E+12,3320,라곰,고명환 지음,"16,800","15,120","1,680",10%,840점,20220919,44666
22,국내도서,작은 땅의 야수들,K042839491,9.79113E+12,3840,다산책방,"김주혜 지음, 박소현 옮김","18,000","16,200","1,800",10%,900점,20220928,25070
23,국내도서,총 균 쇠 (리커버 특별판),K492831266,9.78897E+12,3900,문학사상,"제레드 다이아몬드 지음, 김진준 옮김","28,000","25,200","2,800",10%,"1,400점",20221004,16847
24,국내도서,2022 김승옥문학상 수상작품집,8954688691,9.78895E+12,3810,문학동네,편혜영 외 지음,"10,000","9,000","1,000",10%,500점,20220930,14175
25,국내도서,사람을 얻는 지혜,899865833X,9.789E+12,3320,타커스(끌레마),"발타자르 그라시안 지음, 임정재 옮김","13,800","12,420","1,380",10%,690점,20160307,24525
26,국내도서,마지막 이야기 전달자,K652839394,9.79117E+12,73840,위즈덤하우스,"도나 바르바 이게라 지음, 김선희 옮김","18,000","16,200","1,800",10%,900점,20221005,18584
27,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),8917238548,9.78892E+12,13740,(주)YBM(와이비엠),ETS 엮음,"17,800","16,020","1,780",10%,890점,20211213,195047
